Entity,Code,Year,Mean,Median,Gap,GapRatio
France,FRA,1975,37.4120216,29.1786651611328,8.233356438867204,0.2200724816984283
France,FRA,1979,42.5745621,34.7559852600097,7.8185768399903,0.1836443278412557
France,FRA,1984,44.9517441,37.4075546264648,7.544189473535198,0.16782862655456338
France,FRA,1990,47.8036232,40.1178245544433,7.6857986455566945,0.1607785797616423
France,FRA,1996,51.0664253,43.5834693908691,7.482955909130901,0.14653377175259027
France,FRA,1997,51.4008598,43.8661422729492,7.534717527050802,0.1465873830976423
France,FRA,1998,52.7199135,44.9349746704101,7.784938829589898,0.14766600156864632
France,FRA,1999,54.1774101,45.4627456665039,8.714664433496104,0.16085420874513348
France,FRA,2000,55.4924507,46.5630569458007,8.929393754199296,0.1609118653359329
France,FRA,2001,56.9485168,47.7670745849609,9.181442215039098,0.16122355297300908
France,FRA,2002,58.3672485,48.9843101501464,9.382938349853603,0.1607569071866323
France,FRA,2003,54.1846275,45.4274215698242,8.7572059301758,0.16161790408498797
France,FRA,2004,55.0672836,46.596565246582,8.470718353418,0.15382488112084758
France,FRA,2005,54.3937683,46.3730430603027,8.020725239697299,0.14745669385250698
France,FRA,2006,53.6593971,46.1125335693359,7.546863530664098,0.14064383758542262
France,FRA,2007,65.1799393,53.1743469238281,12.005592376171904,0.18419152434178324
France,FRA,2008,65.7532578,53.83935546875,11.91390233125,0.18119105774938501
France,FRA,2009,66.3153458,55.2687797546386,11.046566045361402,0.16657631671976295
France,FRA,2010,66.6014786,54.2615585327148,12.339920067285192,0.18527997165644297
France,FRA,2011,66.9490585,54.5587615966796,12.390296903320404,0.18507051750877726
France,FRA,2012,66.3679504,54.4616508483886,11.906299551611397,0.17939833127062182
France,FRA,2013,65.7243195,54.3364219665527,11.387897533447294,0.17326763700379272
France,FRA,2014,66.4700394,55.641616821289,10.828422578711006,0.16290681751440342
France,FRA,2015,67.3276901,56.2771301269531,11.050559973046902,0.16413098320518354
France,FRA,2016,67.568222,57.040111541748,10.528110458252009,0.15581452562496031
France,FRA,2017,67.1848907,56.6715927124023,10.513297987597696,0.15648307049486196
France,FRA,2018,68.2951584,56.8413429260253,11.453815473974707,0.16771050455568906
France,FRA,2019,64.4055634,55.6707191467285,8.734844253271504,0.1356225113508052
France,FRA,2020,65.7901688,57.4685668945312,8.321601905468803,0.12648701253170827
France,FRA,2021,65.9707489,57.0588912963867,8.911857603613306,0.13508801631344383
France,FRA,2022,66.081337,57.0205192565918,9.060817743408208,0.137116138304045
France,FRA,2023,66.8017273,57.2105484008789,9.591178899121097,0.14357680986373383
Gambia,GMB,1998,2.45725083,1.57304322719573,0.88420760280427,0.35983611929607934
Gambia,GMB,2003,4.20382452,2.70168900489807,1.5021355151019304,0.35732593212571356
Gambia,GMB,2010,5.62264204,3.95680999755859,1.6658320424414095,0.29627211381953983
